an0607	10.1107/S0108768102003476
av0044	10.1107/S0108768101016330
av1119	10.1107/S0108270102019637
av5015	10.1107/S010876810402693X
av5021	10.1107/S0108768104031738
av5037	10.1107/S0108768105025991
av5050	10.1107/S0108768106013887
av5052	10.1107/S0108768106011608
av5081	10.1107/S0108768107006568
av5086	10.1107/S0108768107019441
av5088	10.1107/S010876810703652X
av5092	10.1107/S0108768107050823
bc3027	10.1107/S1600536806054778
bi3053	10.1107/S0108270113003089
bi5002	10.1107/S2052252513026511
bi5010	10.1107/S2052520613033167
bi5031	10.1107/S2052252514004229
bk0069	10.1107/S0108768199014718
bk0107	10.1107/S0108768102009102
bk0130	10.1107/S010876810300942X
bk5024	10.1107/S0108768105041066
bm0024	10.1107/S0108768100001166
bm0052	10.1107/S0108768102011928
bm5031	10.1107/S0108768106020921
bm5082	10.1107/S2052520615024804
bm5088	10.1107/S2052520616015675
bp5009	10.1107/S0108768108005739
br0090	10.1107/S0108768199012951
br1212	10.1107/S0108270198010919
br1236	10.1107/S0108270199004138
br1261	10.1107/S0108270199013864
br1286	10.1107/S0108270100005357
br1305	10.1107/S0108270100018692
br1322	10.1107/S0108270101005133
br1336	10.1107/S0108270101008356
br1340	10.1107/S0108270101014883
br1352	10.1107/S0108270101021928
br1357	10.1107/S0108270102003049
br1365	10.1107/S0108270102006844
br2004	10.1107/S1600536806012426
br2094	10.1107/S1600536809011866
br2096	10.1107/S1600536809005054
br2107	10.1107/S1600536809018157
br2109	10.1107/S1600536809020467
br2110	10.1107/S1600536809026579
br2119	10.1107/S1600536809044407
br2175	10.1107/S1600536811038451
br2256	10.1107/S2056989016000232
br6017	10.1107/S1600536801007346
br6073	10.1107/S1600536802023541
br6102	10.1107/S1600536803015162
br6178	10.1107/S1600536805002886
bs0018	10.1107/S0108768103019013
bs5027	10.1107/S010876810601799X
cf6258	10.1107/S1600536803012340
cg5006	10.1107/S0021889804018096
ci2110	10.1107/S1600536806033691
ci2215	10.1107/S1600536806052652
ck0012	10.1107/S0108768102005189
ck5017	10.1107/S010876810602369X
ck5018	10.1107/S0108768106039462
ck5030	10.1107/S0108768108005119
ck5032	10.1107/S0108768108025287
cu3008	10.1107/S0108270111054230
cu3028	10.1107/S0108270113017423
cu3037	10.1107/S010827011302862X
cu3040	10.1107/S0108270113027145
cu3043	10.1107/S0108270113031557
cu3124	10.1107/S2053229618001845
cu3152	10.1107/S2053229619008829
cu3164	10.1107/S2053229620008281
cv2034	10.1107/S1600536806015674
